time_since_cooked_hours,storage_location,acidity_source,consistency,cumulative_time_in_danger_zone_hours,storage_container,observed_odor_score,dal_state
94,Refrigerator,None (plain dal),Thick (low water),2,Open to air,0,1
45,Refrigerator,Tomatoes,Thick (low water),6,Covered (not airtight),2,1
112,Refrigerator,None (plain dal),Watery (thin),3,Airtight,3,2
78,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
6,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Covered (not airtight),0,0
113,Refrigerator,Tomatoes,Watery (thin),3,Airtight,0,1
34,Refrigerator,Tomatoes,Thick (low water),4,Airtight,1,1
76,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
5,Refrigerator,Tomatoes,Thick (low water),1,Open to air,0,0
13,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
88,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,0
149,Refrigerator,Tomatoes,Watery (thin),1,Airtight,2,1
101,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
42,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),42,Covered (not airtight),2,2
122,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
81,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
125,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Covered (not airtight),0,0
55,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
12,Refrigerator,None (plain dal),Watery (thin),4,Airtight,2,1
140,Refrigerator,None (plain dal),Watery (thin),6,Covered (not airtight),3,3
49,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Covered (not airtight),0,0
107,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
110,Refrigerator,None (plain dal),Medium,1,Airtight,0,1
31,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
80,Refrigerator,None (plain dal),Watery (thin),2,Covered (not airtight),2,1
16,Refrigerator,None (plain dal),Medium,6,Airtight,0,1
87,Refrigerator,None (plain dal),Thick (low water),1,Airtight,0,0
71,Refrigerator,None (plain dal),Medium,2,Open to air,2,1
142,Room Temperature,None (plain dal),Medium,142,Airtight,4,3
18,Refrigerator,None (plain dal),Thick (low water),2,Airtight,0,0
118,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
37,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),3,Airtight,0,0
133,Refrigerator,None (plain dal),Watery (thin),1,Covered (not airtight),3,2
98,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
30,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
77,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
75,Refrigerator,Tomatoes,Medium,2,Open to air,0,1
141,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,1
60,Refrigerator,Tomatoes,Thick (low water),4,Covered (not airtight),1,1
107,Refrigerator,Tomatoes,Medium,3,Airtight,1,1
82,Refrigerator,None (plain dal),Thick (low water),3,Covered (not airtight),2,1
31,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
81,Refrigerator,Tomatoes,Watery (thin),4,Airtight,1,1
5,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),5,Airtight,0,1
84,Room Temperature,None (plain dal),Medium,84,Airtight,4,3
161,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,161,Airtight,4,3
9,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
40,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Airtight,0,0
2,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
5,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Covered (not airtight),0,0
131,Refrigerator,Tomatoes,Medium,1,Open to air,1,1
41,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
135,Refrigerator,Tomatoes,Medium,4,Open to air,1,1
58,Refrigerator,None (plain dal),Watery (thin),1,Airtight,0,1
160,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
41,Refrigerator,None (plain dal),Watery (thin),1,Airtight,0,0
128,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Airtight,0,0
76,Room Temperature,Tomatoes,Thick (low water),76,Open to air,4,3
52,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
81,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
2,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,0
90,Refrigerator,None (plain dal),Thick (low water),1,Airtight,0,0
126,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
6,Refrigerator,None (plain dal),Watery (thin),4,Covered (not airtight),1,1
42,Refrigerator,Tomatoes,Thick (low water),1,Covered (not airtight),0,0
2,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,0
97,Refrigerator,None (plain dal),Medium,1,Airtight,0,1
134,Refrigerator,Tomatoes,Medium,2,Airtight,1,1
77,Refrigerator,Tomatoes,Watery (thin),4,Airtight,0,1
98,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
120,Refrigerator,None (plain dal),Medium,1,Open to air,1,1
16,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
158,Refrigerator,None (plain dal),Thick (low water),1,Airtight,1,1
46,Refrigerator,None (plain dal),Medium,1,Airtight,0,0
6,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Airtight,0,0
56,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,56,Airtight,3,3
48,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,0
94,Refrigerator,Tomatoes,Medium,3,Airtight,1,1
112,Room Temperature,Tomatoes,Thick (low water),112,Covered (not airtight),3,3
149,Refrigerator,Tomatoes,Watery (thin),6,Airtight,2,2
82,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
21,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
89,Room Temperature,Tomatoes,Medium,89,Airtight,3,3
45,Refrigerator,Tomatoes,Medium,3,Airtight,0,0
167,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Covered (not airtight),0,0
39,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),39,Airtight,4,3
164,Refrigerator,Tomatoes,Watery (thin),3,Airtight,0,1
77,Refrigerator,Tomatoes,Watery (thin),1,Airtight,1,1
24,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Open to air,0,0
80,Refrigerator,None (plain dal),Medium,3,Open to air,0,1
158,Refrigerator,None (plain dal),Medium,2,Airtight,2,2
47,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),6,Covered (not airtight),0,1
65,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Airtight,0,0
31,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
55,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,0
137,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
73,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Covered (not airtight),0,0
21,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Open to air,0,0
50,Refrigerator,Tomatoes,Watery (thin),3,Airtight,2,1
93,Refrigerator,Tomatoes,Watery (thin),6,Airtight,1,1
11,Refrigerator,Tomatoes,Medium,6,Covered (not airtight),0,1
1,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
74,Refrigerator,Tomatoes,Medium,3,Covered (not airtight),0,0
152,Refrigerator,None (plain dal),Medium,3,Airtight,3,2
78,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
105,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
123,Refrigerator,None (plain dal),Thick (low water),1,Airtight,0,1
161,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
153,Refrigerator,Tomatoes,Medium,3,Airtight,1,1
100,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,100,Airtight,3,3
98,Refrigerator,Tomatoes,Medium,3,Covered (not airtight),2,1
147,Room Temperature,Tomatoes,Medium,147,Airtight,4,3
70,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Airtight,0,0
138,Refrigerator,Tomatoes,Medium,1,Airtight,1,1
152,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),1,1
115,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
112,Refrigerator,Tomatoes,Medium,4,Covered (not airtight),0,1
39,Room Temperature,Tomatoes,Thick (low water),39,Airtight,3,3
104,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
11,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
79,Room Temperature,Tomatoes,Medium,79,Airtight,3,3
15,Refrigerator,Tomatoes,Medium,4,Airtight,0,1
4,Refrigerator,None (plain dal),Medium,2,Covered (not airtight),0,0
86,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
26,Refrigerator,None (plain dal),Medium,3,Airtight,1,1
47,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),47,Open to air,2,2
99,Refrigerator,Tomatoes,Thick (low water),6,Airtight,0,1
131,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,131,Open to air,3,3
109,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
153,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Medium,153,Airtight,4,3
14,Refrigerator,Tomatoes,Medium,4,Airtight,0,1
51,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
43,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
78,Room Temperature,Tomatoes,Medium,78,Airtight,4,3
49,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,0
112,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
86,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),1,1
86,Room Temperature,Tomatoes,Medium,86,Airtight,3,3
23,Refrigerator,Tomatoes,Medium,1,Open to air,0,0
111,Refrigerator,Tomatoes,Watery (thin),2,Airtight,1,1
101,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
63,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,0
57,Refrigerator,None (plain dal),Watery (thin),2,Covered (not airtight),0,1
154,Refrigerator,Tomatoes,Thick (low water),3,Covered (not airtight),0,1
25,Room Temperature,None (plain dal),Watery (thin),25,Airtight,3,3
146,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Airtight,1,1
168,Refrigerator,Tomatoes,Thick (low water),3,Covered (not airtight),0,1
153,Refrigerator,Tomatoes,Watery (thin),4,Airtight,1,1
79,Refrigerator,Tomatoes,Thick (low water),4,Airtight,1,1
109,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
139,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
123,Refrigerator,Tomatoes,Medium,3,Open to air,0,1
33,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Airtight,0,0
145,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,0
90,Refrigerator,None (plain dal),Watery (thin),1,Covered (not airtight),0,1
127,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
33,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
63,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),63,Airtight,3,3
78,Room Temperature,None (plain dal),Medium,78,Airtight,4,3
75,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
119,Refrigerator,Tomatoes,Medium,1,Airtight,2,1
48,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,0
92,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Covered (not airtight),0,0
139,Room Temperature,Tomatoes,Medium,139,Open to air,4,3
17,Refrigerator,None (plain dal),Medium,4,Covered (not airtight),0,1
61,Refrigerator,None (plain dal),Thick (low water),1,Airtight,0,0
46,Refrigerator,None (plain dal),Medium,4,Covered (not airtight),0,1
120,Room Temperature,None (plain dal),Watery (thin),120,Airtight,3,3
4,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),4,Open to air,2,1
7,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
26,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),0,0
116,Room Temperature,Tomatoes,Thick (low water),116,Covered (not airtight),3,3
44,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
155,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,1
117,Refrigerator,None (plain dal),Medium,4,Covered (not airtight),0,1
152,Room Temperature,Tomatoes,Watery (thin),152,Covered (not airtight),4,3
60,Room Temperature,Tomatoes,Medium,60,Airtight,3,3
118,Refrigerator,None (plain dal),Medium,6,Covered (not airtight),2,2
62,Room Temperature,Tomatoes,Medium,62,Airtight,4,3
153,Refrigerator,Tomatoes,Medium,2,Airtight,1,1
110,Refrigerator,Tomatoes,Watery (thin),3,Airtight,2,1
46,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Open to air,0,0
143,Refrigerator,Tomatoes,Medium,3,Open to air,0,1
137,Refrigerator,None (plain dal),Medium,4,Airtight,0,1
115,Refrigerator,None (plain dal),Medium,4,Airtight,0,1
164,Refrigerator,Tomatoes,Thick (low water),4,Airtight,0,1
95,Refrigerator,Tomatoes,Watery (thin),2,Airtight,2,1
92,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),1,1
101,Refrigerator,Tomatoes,Medium,4,Airtight,2,1
90,Room Temperature,None (plain dal),Medium,90,Covered (not airtight),4,3
122,Refrigerator,Tomatoes,Medium,2,Airtight,0,1
152,Refrigerator,None (plain dal),Medium,1,Airtight,1,1
131,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
56,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,0
126,Refrigerator,None (plain dal),Medium,2,Covered (not airtight),1,1
24,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
164,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
39,Refrigerator,None (plain dal),Medium,2,Airtight,0,0
6,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
55,Refrigerator,None (plain dal),Medium,2,Airtight,1,1
73,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
99,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
65,Refrigerator,Tomatoes,Watery (thin),3,Airtight,0,1
25,Refrigerator,Tomatoes,Thick (low water),4,Airtight,0,1
55,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,6,Open to air,1,1
14,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
48,Refrigerator,None (plain dal),Watery (thin),1,Airtight,1,1
26,Room Temperature,Tomatoes,Thick (low water),26,Open to air,3,2
54,Room Temperature,Tomatoes,Medium,54,Covered (not airtight),4,3
58,Refrigerator,None (plain dal),Thick (low water),3,Airtight,0,0
116,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),1,1
164,Room Temperature,None (plain dal),Medium,164,Airtight,4,3
13,Refrigerator,Tomatoes,Watery (thin),4,Airtight,0,1
53,Room Temperature,None (plain dal),Medium,53,Airtight,3,3
9,Room Temperature,Tomatoes,Thick (low water),9,Covered (not airtight),2,1
63,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
36,Room Temperature,Tomatoes,Medium,36,Covered (not airtight),3,3
54,Refrigerator,Tomatoes,Watery (thin),1,Open to air,0,0
101,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
114,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
73,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Covered (not airtight),0,0
13,Refrigerator,Tomatoes,Watery (thin),3,Airtight,0,0
10,Refrigerator,Tomatoes,Thick (low water),3,Open to air,0,0
147,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,6,Airtight,0,1
21,Room Temperature,None (plain dal),Thick (low water),21,Airtight,3,2
76,Refrigerator,None (plain dal),Watery (thin),1,Covered (not airtight),1,1
66,Room Temperature,Tomatoes,Medium,66,Open to air,3,3
86,Refrigerator,None (plain dal),Medium,4,Covered (not airtight),1,1
31,Refrigerator,Tomatoes,Thick (low water),3,Open to air,0,0
15,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Airtight,0,0
161,Refrigerator,Tomatoes,Thick (low water),1,Open to air,0,1
151,Refrigerator,Tomatoes,Watery (thin),2,Airtight,1,1
8,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
114,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
50,Refrigerator,None (plain dal),Medium,2,Airtight,0,0
30,Refrigerator,Tomatoes,Thick (low water),3,Airtight,0,0
70,Refrigerator,None (plain dal),Watery (thin),1,Airtight,0,1
145,Refrigerator,None (plain dal),Thick (low water),3,Covered (not airtight),0,1
34,Refrigerator,Tomatoes,Thick (low water),3,Covered (not airtight),0,0
123,Room Temperature,None (plain dal),Watery (thin),123,Open to air,4,3
87,Room Temperature,None (plain dal),Watery (thin),87,Covered (not airtight),3,3
50,Refrigerator,Tomatoes,Thick (low water),1,Covered (not airtight),0,0
95,Refrigerator,Tomatoes,Thick (low water),2,Open to air,0,0
120,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
34,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,0
67,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
59,Room Temperature,None (plain dal),Medium,59,Airtight,3,3
9,Refrigerator,Tomatoes,Medium,4,Airtight,2,1
80,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
141,Refrigerator,Tomatoes,Medium,1,Open to air,0,1
109,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),0,1
70,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),1,Covered (not airtight),0,0
84,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,0
118,Room Temperature,None (plain dal),Medium,118,Open to air,4,3
128,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Open to air,0,0
97,Room Temperature,Tomatoes,Medium,97,Open to air,4,3
105,Refrigerator,None (plain dal),Thick (low water),3,Open to air,1,1
73,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
121,Refrigerator,None (plain dal),Medium,3,Covered (not airtight),0,1
140,Refrigerator,Tomatoes,Medium,6,Open to air,2,1
156,Refrigerator,None (plain dal),Medium,1,Open to air,1,1
45,Refrigerator,Tomatoes,Medium,1,Open to air,0,0
111,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),3,Open to air,1,1
29,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
113,Room Temperature,None (plain dal),Medium,113,Covered (not airtight),4,3
74,Refrigerator,Tomatoes,Watery (thin),2,Airtight,1,1
82,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),3,Covered (not airtight),0,0
96,Refrigerator,None (plain dal),Thick (low water),2,Covered (not airtight),0,1
167,Refrigerator,Tomatoes,Thick (low water),1,Airtight,2,1
91,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
73,Refrigerator,Tomatoes,Watery (thin),1,Airtight,0,0
158,Refrigerator,Tomatoes,Medium,4,Covered (not airtight),1,1
21,Room Temperature,Tomatoes,Thick (low water),21,Covered (not airtight),2,1
147,Room Temperature,None (plain dal),Watery (thin),147,Airtight,4,3
69,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
83,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
108,Refrigerator,None (plain dal),Thick (low water),2,Airtight,0,1
65,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
108,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),108,Airtight,3,3
57,Refrigerator,Tomatoes,Medium,3,Open to air,0,0
108,Room Temperature,None (plain dal),Watery (thin),108,Covered (not airtight),3,3
36,Refrigerator,None (plain dal),Watery (thin),1,Airtight,0,0
87,Refrigerator,None (plain dal),Medium,3,Covered (not airtight),1,1
5,Room Temperature,None (plain dal),Thick (low water),5,Airtight,0,1
96,Room Temperature,None (plain dal),Thick (low water),96,Airtight,3,3
94,Refrigerator,None (plain dal),Thick (low water),2,Covered (not airtight),0,1
81,Refrigerator,None (plain dal),Thick (low water),2,Covered (not airtight),0,0
21,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
167,Refrigerator,None (plain dal),Thick (low water),4,Airtight,0,1
132,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),3,Airtight,0,1
95,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,3,Airtight,0,0
121,Room Temperature,None (plain dal),Medium,121,Airtight,3,3
33,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
47,Refrigerator,Tomatoes,Medium,6,Airtight,0,1
19,Refrigerator,Tomatoes,Thick (low water),3,Open to air,0,0
158,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
141,Refrigerator,Tomatoes,Medium,1,Airtight,0,1
108,Room Temperature,Tomatoes,Watery (thin),108,Airtight,3,3
12,Refrigerator,None (plain dal),Medium,1,Airtight,0,0
38,Refrigerator,None (plain dal),Watery (thin),1,Airtight,0,0
80,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),4,Airtight,0,1
30,Refrigerator,None (plain dal),Thick (low water),3,Open to air,0,0
166,Refrigerator,Tomatoes,Watery (thin),1,Open to air,1,1
58,Refrigerator,None (plain dal),Medium,2,Covered (not airtight),0,1
40,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
70,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
92,Refrigerator,None (plain dal),Medium,4,Airtight,0,1
127,Refrigerator,None (plain dal),Watery (thin),2,Airtight,0,1
32,Refrigerator,None (plain dal),Medium,2,Airtight,0,0
130,Refrigerator,None (plain dal),Medium,1,Covered (not airtight),0,1
138,Refrigerator,Tomatoes,Watery (thin),4,Airtight,1,1
102,Room Temperature,Tomatoes,Thick (low water),102,Airtight,3,3
73,Refrigerator,None (plain dal),Watery (thin),2,Airtight,0,1
24,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
73,Refrigerator,Tomatoes,Watery (thin),2,Covered (not airtight),0,1
85,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
9,Room Temperature,Tomatoes,Medium,9,Airtight,1,1
131,Room Temperature,None (plain dal),Watery (thin),131,Airtight,3,3
152,Refrigerator,Tomatoes,Medium,1,Airtight,1,1
8,Refrigerator,None (plain dal),Thick (low water),6,Airtight,0,1
157,Refrigerator,Tomatoes,Watery (thin),4,Airtight,2,1
77,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),0,1
23,Refrigerator,None (plain dal),Medium,2,Airtight,0,0
159,Room Temperature,None (plain dal),Thick (low water),159,Airtight,3,3
129,Refrigerator,None (plain dal),Thick (low water),2,Airtight,1,1
50,Refrigerator,Tomatoes,Medium,6,Covered (not airtight),2,1
77,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
78,Room Temperature,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),78,Open to air,4,3
155,Refrigerator,Tomatoes,Medium,1,Covered (not airtight),0,1
33,Room Temperature,Tomatoes,Medium,33,Open to air,4,3
12,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
87,Refrigerator,Tomatoes,Medium,3,Airtight,0,1
50,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Covered (not airtight),0,0
88,Refrigerator,None (plain dal),Medium,2,Airtight,1,1
101,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Covered (not airtight),0,0
99,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
88,Refrigerator,Tomatoes,Watery (thin),1,Covered (not airtight),1,1
40,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Covered (not airtight),0,0
50,Refrigerator,None (plain dal),Thick (low water),2,Airtight,0,0
141,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),3,Open to air,0,0
11,Refrigerator,Tomatoes,Watery (thin),3,Airtight,0,0
160,Room Temperature,None (plain dal),Thick (low water),160,Covered (not airtight),4,3
55,Room Temperature,Tomatoes,Medium,55,Covered (not airtight),3,3
40,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Open to air,0,0
113,Refrigerator,Tomatoes,Watery (thin),3,Airtight,0,1
71,Refrigerator,None (plain dal),Watery (thin),3,Covered (not airtight),0,1
147,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
88,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
65,Refrigerator,Tomatoes,Medium,2,Airtight,0,0
146,Refrigerator,Tomatoes,Watery (thin),1,Airtight,1,1
147,Refrigerator,None (plain dal),Watery (thin),2,Airtight,2,2
142,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
49,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Covered (not airtight),0,0
168,Room Temperature,None (plain dal),Thick (low water),168,Covered (not airtight),3,3
109,Refrigerator,Tomatoes,Watery (thin),2,Covered (not airtight),0,1
23,Refrigerator,None (plain dal),Watery (thin),1,Airtight,0,0
166,Refrigerator,None (plain dal),Medium,1,Open to air,0,1
7,Refrigerator,Tomatoes,Medium,1,Airtight,0,0
4,Room Temperature,Tomatoes,Watery (thin),4,Airtight,0,1
130,Refrigerator,None (plain dal),Thick (low water),1,Airtight,0,1
3,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Airtight,0,0
34,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),2,Airtight,0,0
56,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Thick (low water),1,Covered (not airtight),0,0
124,Refrigerator,Tomatoes,Medium,2,Open to air,1,1
9,Refrigerator,Tomatoes,Thick (low water),1,Airtight,0,0
38,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Covered (not airtight),0,0
132,Refrigerator,None (plain dal),Watery (thin),3,Open to air,2,2
124,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,1
124,Refrigerator,None (plain dal),Thick (low water),1,Covered (not airtight),0,1
135,Refrigerator,None (plain dal),Medium,2,Airtight,0,1
21,Refrigerator,Tomatoes,Medium,2,Covered (not airtight),0,0
70,Room Temperature,Tomatoes,Medium,70,Covered (not airtight),3,3
128,Refrigerator,Tomatoes,Medium,1,Airtight,1,1
145,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,2,Airtight,0,0
141,Refrigerator,Tomatoes,Thick (low water),2,Covered (not airtight),0,1
121,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Medium,1,Airtight,0,0
54,Refrigerator,Tomatoes,Thick (low water),2,Airtight,0,0
146,Refrigerator,Tamarind/Lemon/Yogurt (High Acidity),Watery (thin),2,Airtight,2,1
157,Room Temperature,Tomatoes,Watery (thin),157,Airtight,4,3
58,Refrigerator,Tomatoes,Watery (thin),2,Airtight,0,0
