Time_since_preparation_hours,Storage_place,Acidity_source,Consistency,Container_type,Smell,Oil_separation,Spoiled_flag
118,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Slight off-smell,>15%,Yes
15,Insulated container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Strong off-odor,None,No
14,Covered in container,Low (pH~6.5),Watery separation,Metal container,Fresh/normal,None,No
9,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
80,Insulated container,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
5,Insulated container,Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
17,Warm environment (≈35°C),None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
8,Covered in container,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
66,Insulated container,None,Clotted/curdled,Open bowl,Fresh/normal,None,No
68,Insulated container,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
113,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
18,Warm environment (≈35°C),None,Thickened,Metal container,Fresh/normal,None,No
104,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Open bowl,Fresh/normal,5-15%,Yes
75,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Metal container,Rancid smell,Oil film present,Yes
48,Open air / uncovered,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
86,Covered in container,Low (pH~6.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
71,Warm environment (≈35°C),High (pH~4.5),Mushy,Open bowl,Rancid smell,Oil film present,Yes
64,Insulated container,Moderate (pH~5.5),Clotted/curdled,Metal container,Sour fermentation smell,>15%,Yes
76,Covered in container,High (pH~4.5),Thickened,Glass jar sealed,Sour fermentation smell,>15%,Yes
44,Refrigerated (≈4°C),None,Thickened,Plastic box with lid,Fresh/normal,None,No
47,Covered in container,None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
89,Insulated container,Low (pH~6.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
91,Open air / uncovered,High (pH~4.5),Watery separation,Thermal flask,Fresh/normal,>15%,Yes
120,Insulated container,Low (pH~6.5),Watery separation,Plastic box with lid,Slight off-smell,<5%,Yes
116,Insulated container,Low (pH~6.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,>15%,Yes
108,Insulated container,High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,<5%,Yes
97,Warm environment (≈35°C),High (pH~4.5),Mushy,Open bowl,Strong off-odor,Oil film present,Yes
114,Open air / uncovered,Moderate (pH~5.5),Thickened,Metal container,Strong off-odor,Oil film present,Yes
17,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,>15%,Yes
47,Insulated container,High (pH~4.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,>15%,Yes
87,Room temperature (≈25°C),High (pH~4.5),Normal (smooth),Plastic box with lid,Sour fermentation smell,>15%,Yes
8,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,<5%,No
4,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Metal container,Slight off-smell,Oil film present,No
73,Covered in container,Low (pH~6.5),Clotted/curdled,Thermal flask,Strong off-odor,<5%,Yes
93,Insulated container,Moderate (pH~5.5),Thickened,Thermal flask,Rancid smell,>15%,Yes
11,Insulated container,Moderate (pH~5.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
59,Refrigerated (≈4°C),High (pH~4.5),Clotted/curdled,Open bowl,Rancid smell,5-15%,Yes
50,Open air / uncovered,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
108,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
57,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Thermal flask,Sour fermentation smell,5-15%,Yes
59,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Metal container,Rancid smell,5-15%,Yes
88,Covered in container,High (pH~4.5),Thickened,Open bowl,Sour fermentation smell,>15%,Yes
29,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
91,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Rancid smell,Oil film present,Yes
9,Refrigerated (≈4°C),None,Normal (smooth),Open bowl,Slight off-smell,None,No
24,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Strong off-odor,5-15%,Yes
27,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Strong off-odor,None,No
55,Open air / uncovered,High (pH~4.5),Mushy,Thermal flask,Strong off-odor,Oil film present,Yes
70,Open air / uncovered,High (pH~4.5),Clotted/curdled,Metal container,Sour fermentation smell,5-15%,Yes
2,Open air / uncovered,Low (pH~6.5),Clotted/curdled,Open bowl,Sour fermentation smell,Oil film present,Yes
43,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
36,Warm environment (≈35°C),High (pH~4.5),Watery separation,Glass jar sealed,Rancid smell,Oil film present,Yes
115,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Metal container,Sour fermentation smell,Oil film present,Yes
94,Covered in container,High (pH~4.5),Thickened,Open bowl,Strong off-odor,Oil film present,Yes
78,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Metal container,Strong off-odor,>15%,Yes
61,Covered in container,None,Thickened,Open bowl,Fresh/normal,None,No
93,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Thermal flask,Strong off-odor,>15%,Yes
92,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Open bowl,Sour fermentation smell,>15%,Yes
37,Covered in container,Moderate (pH~5.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
93,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Thermal flask,Strong off-odor,Oil film present,Yes
112,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Thermal flask,Rancid smell,>15%,Yes
93,Insulated container,High (pH~4.5),Watery separation,Metal container,Rancid smell,5-15%,Yes
104,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Metal container,Slight off-smell,>15%,Yes
85,Room temperature (≈25°C),High (pH~4.5),Thickened,Metal container,Strong off-odor,<5%,Yes
17,Open air / uncovered,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
26,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Open bowl,Fresh/normal,None,No
69,Covered in container,Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Strong off-odor,>15%,Yes
55,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
78,Warm environment (≈35°C),High (pH~4.5),Normal (smooth),Metal container,Sour fermentation smell,None,Yes
70,Covered in container,High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
109,Room temperature (≈25°C),High (pH~4.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
46,Insulated container,Moderate (pH~5.5),Mushy,Open bowl,Strong off-odor,Oil film present,Yes
37,Insulated container,Moderate (pH~5.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
85,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
83,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Glass jar sealed,Rancid smell,5-15%,Yes
17,Covered in container,Moderate (pH~5.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
21,Warm environment (≈35°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,<5%,No
0,Covered in container,None,Normal (smooth),Open bowl,Strong off-odor,None,No
52,Refrigerated (≈4°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,<5%,Yes
99,Room temperature (≈25°C),High (pH~4.5),Mushy,Thermal flask,Rancid smell,5-15%,Yes
70,Covered in container,High (pH~4.5),Mushy,Open bowl,Sour fermentation smell,>15%,Yes
95,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
31,Covered in container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,<5%,No
5,Covered in container,None,Normal (smooth),Thermal flask,Strong off-odor,>15%,No
25,Room temperature (≈25°C),Low (pH~6.5),Thickened,Glass jar sealed,Fresh/normal,<5%,No
1,Covered in container,None,Mushy,Glass jar sealed,Fresh/normal,<5%,No
25,Open air / uncovered,Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
70,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Slight off-smell,5-15%,Yes
13,Open air / uncovered,Moderate (pH~5.5),Normal (smooth),Open bowl,Fresh/normal,None,No
20,Covered in container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
63,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
63,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
14,Room temperature (≈25°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
24,Warm environment (≈35°C),None,Normal (smooth),Thermal flask,Fresh/normal,None,No
119,Refrigerated (≈4°C),None,Thickened,Plastic box with lid,Fresh/normal,None,No
87,Open air / uncovered,High (pH~4.5),Thickened,Metal container,Rancid smell,5-15%,Yes
74,Insulated container,Moderate (pH~5.5),Watery separation,Thermal flask,Slight off-smell,Oil film present,Yes
41,Insulated container,High (pH~4.5),Watery separation,Glass jar sealed,Strong off-odor,Oil film present,Yes
94,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,<5%,Yes
76,Insulated container,Moderate (pH~5.5),Watery separation,Open bowl,Sour fermentation smell,Oil film present,Yes
88,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
96,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,5-15%,Yes
106,Covered in container,High (pH~4.5),Mushy,Plastic box with lid,Rancid smell,>15%,Yes
45,Covered in container,Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,None,No
9,Insulated container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
19,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Glass jar sealed,Strong off-odor,5-15%,Yes
25,Refrigerated (≈4°C),Moderate (pH~5.5),Thickened,Plastic box with lid,Sour fermentation smell,5-15%,Yes
1,Open air / uncovered,None,Thickened,Plastic box with lid,Fresh/normal,<5%,No
87,Covered in container,High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,<5%,Yes
105,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Rancid smell,>15%,Yes
83,Warm environment (≈35°C),High (pH~4.5),Watery separation,Metal container,Sour fermentation smell,Oil film present,Yes
77,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
21,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,5-15%,Yes
95,Covered in container,None,Thickened,Thermal flask,Fresh/normal,<5%,No
58,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
8,Insulated container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
10,Insulated container,Moderate (pH~5.5),Normal (smooth),Metal container,Fresh/normal,None,No
9,Open air / uncovered,None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
16,Insulated container,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
97,Insulated container,High (pH~4.5),Mushy,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
80,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
11,Covered in container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
83,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,5-15%,No
113,Refrigerated (≈4°C),High (pH~4.5),Watery separation,Open bowl,Rancid smell,Oil film present,Yes
6,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Plastic box with lid,Slight off-smell,None,No
73,Open air / uncovered,None,Clotted/curdled,Glass jar sealed,Sour fermentation smell,>15%,Yes
9,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
32,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
26,Warm environment (≈35°C),High (pH~4.5),Watery separation,Open bowl,Rancid smell,>15%,Yes
22,Open air / uncovered,Low (pH~6.5),Mushy,Metal container,Slight off-smell,None,Yes
103,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
50,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
43,Open air / uncovered,Moderate (pH~5.5),Mushy,Plastic box with lid,Rancid smell,>15%,Yes
32,Open air / uncovered,High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,>15%,Yes
18,Open air / uncovered,Moderate (pH~5.5),Thickened,Open bowl,Slight off-smell,>15%,Yes
120,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
28,Open air / uncovered,High (pH~4.5),Thickened,Metal container,Sour fermentation smell,Oil film present,Yes
107,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Slight off-smell,>15%,Yes
25,Warm environment (≈35°C),None,Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
14,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Plastic box with lid,Fresh/normal,None,No
49,Room temperature (≈25°C),None,Normal (smooth),Open bowl,Fresh/normal,None,No
14,Insulated container,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
36,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,<5%,No
76,Refrigerated (≈4°C),Moderate (pH~5.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
52,Warm environment (≈35°C),None,Watery separation,Metal container,Strong off-odor,None,Yes
8,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Open bowl,Fresh/normal,None,No
109,Covered in container,Moderate (pH~5.5),Watery separation,Plastic box with lid,Rancid smell,<5%,Yes
37,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
73,Insulated container,Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,5-15%,Yes
9,Insulated container,High (pH~4.5),Normal (smooth),Plastic box with lid,Fresh/normal,>15%,No
75,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,Oil film present,Yes
62,Insulated container,None,Normal (smooth),Open bowl,Fresh/normal,None,No
49,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
38,Covered in container,None,Clotted/curdled,Glass jar sealed,Slight off-smell,None,No
117,Refrigerated (≈4°C),High (pH~4.5),Clotted/curdled,Metal container,Strong off-odor,Oil film present,Yes
72,Refrigerated (≈4°C),None,Watery separation,Thermal flask,Fresh/normal,<5%,No
110,Insulated container,High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
89,Open air / uncovered,High (pH~4.5),Mushy,Open bowl,Strong off-odor,>15%,Yes
107,Covered in container,High (pH~4.5),Clotted/curdled,Thermal flask,Rancid smell,Oil film present,Yes
48,Warm environment (≈35°C),None,Clotted/curdled,Thermal flask,Rancid smell,5-15%,Yes
117,Refrigerated (≈4°C),None,Clotted/curdled,Thermal flask,Fresh/normal,None,No
113,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,>15%,Yes
83,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
33,Open air / uncovered,None,Normal (smooth),Plastic box with lid,Fresh/normal,None,No
9,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
112,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Slight off-smell,Oil film present,Yes
56,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Open bowl,Strong off-odor,5-15%,Yes
49,Insulated container,High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
107,Warm environment (≈35°C),High (pH~4.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
79,Warm environment (≈35°C),High (pH~4.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
119,Insulated container,Moderate (pH~5.5),Mushy,Metal container,Rancid smell,Oil film present,Yes
108,Covered in container,High (pH~4.5),Thickened,Metal container,Strong off-odor,>15%,Yes
101,Warm environment (≈35°C),Low (pH~6.5),Thickened,Metal container,Rancid smell,>15%,Yes
111,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Slight off-smell,None,No
65,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Glass jar sealed,Fresh/normal,5-15%,No
72,Open air / uncovered,Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
38,Warm environment (≈35°C),Moderate (pH~5.5),Normal (smooth),Plastic box with lid,Slight off-smell,None,No
3,Warm environment (≈35°C),Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
50,Open air / uncovered,Moderate (pH~5.5),Thickened,Glass jar sealed,Sour fermentation smell,<5%,Yes
29,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
14,Covered in container,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Rancid smell,5-15%,Yes
19,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Glass jar sealed,Strong off-odor,None,Yes
61,Covered in container,High (pH~4.5),Mushy,Open bowl,Slight off-smell,Oil film present,Yes
38,Warm environment (≈35°C),None,Normal (smooth),Plastic box with lid,Slight off-smell,None,No
35,Insulated container,Moderate (pH~5.5),Watery separation,Metal container,Rancid smell,5-15%,Yes
50,Warm environment (≈35°C),None,Normal (smooth),Metal container,Slight off-smell,>15%,No
24,Insulated container,None,Normal (smooth),Glass jar sealed,Fresh/normal,None,No
37,Open air / uncovered,High (pH~4.5),Thickened,Plastic box with lid,Sour fermentation smell,None,Yes
105,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Open bowl,Rancid smell,>15%,Yes
73,Room temperature (≈25°C),High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,None,Yes
114,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Thermal flask,Slight off-smell,>15%,Yes
57,Room temperature (≈25°C),Moderate (pH~5.5),Clotted/curdled,Thermal flask,Rancid smell,>15%,Yes
31,Refrigerated (≈4°C),None,Clotted/curdled,Metal container,Fresh/normal,None,No
47,Room temperature (≈25°C),Moderate (pH~5.5),Mushy,Open bowl,Slight off-smell,Oil film present,Yes
51,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,5-15%,Yes
23,Open air / uncovered,Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
47,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Open bowl,Rancid smell,Oil film present,Yes
77,Refrigerated (≈4°C),High (pH~4.5),Thickened,Metal container,Strong off-odor,>15%,Yes
1,Covered in container,Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
110,Insulated container,High (pH~4.5),Mushy,Glass jar sealed,Rancid smell,Oil film present,Yes
102,Open air / uncovered,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Sour fermentation smell,Oil film present,Yes
96,Covered in container,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Fresh/normal,5-15%,Yes
89,Open air / uncovered,High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
71,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Plastic box with lid,Rancid smell,<5%,Yes
19,Open air / uncovered,Moderate (pH~5.5),Watery separation,Plastic box with lid,Strong off-odor,Oil film present,Yes
10,Insulated container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,Oil film present,Yes
83,Room temperature (≈25°C),High (pH~4.5),Mushy,Plastic box with lid,Sour fermentation smell,>15%,Yes
21,Covered in container,None,Thickened,Plastic box with lid,Fresh/normal,5-15%,No
114,Refrigerated (≈4°C),None,Normal (smooth),Thermal flask,Fresh/normal,<5%,No
96,Room temperature (≈25°C),High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,>15%,Yes
79,Open air / uncovered,High (pH~4.5),Mushy,Open bowl,Rancid smell,>15%,Yes
90,Open air / uncovered,High (pH~4.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
58,Insulated container,Moderate (pH~5.5),Normal (smooth),Glass jar sealed,Fresh/normal,<5%,No
94,Warm environment (≈35°C),High (pH~4.5),Mushy,Open bowl,Strong off-odor,>15%,Yes
2,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Rancid smell,None,No
96,Room temperature (≈25°C),High (pH~4.5),Mushy,Glass jar sealed,Slight off-smell,Oil film present,Yes
81,Warm environment (≈35°C),High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,Oil film present,Yes
42,Open air / uncovered,None,Watery separation,Plastic box with lid,Rancid smell,Oil film present,Yes
63,Warm environment (≈35°C),High (pH~4.5),Watery separation,Thermal flask,Rancid smell,Oil film present,Yes
113,Refrigerated (≈4°C),None,Normal (smooth),Plastic box with lid,Strong off-odor,None,No
73,Open air / uncovered,High (pH~4.5),Clotted/curdled,Glass jar sealed,Sour fermentation smell,5-15%,Yes
25,Insulated container,None,Normal (smooth),Metal container,Fresh/normal,None,No
51,Insulated container,Moderate (pH~5.5),Mushy,Plastic box with lid,Fresh/normal,5-15%,No
26,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
7,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
84,Refrigerated (≈4°C),None,Thickened,Glass jar sealed,Fresh/normal,None,No
111,Insulated container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,Oil film present,Yes
108,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Thermal flask,Rancid smell,None,Yes
27,Open air / uncovered,Moderate (pH~5.5),Mushy,Open bowl,Sour fermentation smell,5-15%,Yes
90,Covered in container,None,Clotted/curdled,Plastic box with lid,Sour fermentation smell,>15%,Yes
86,Covered in container,High (pH~4.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
65,Room temperature (≈25°C),High (pH~4.5),Mushy,Metal container,Sour fermentation smell,5-15%,Yes
53,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Plastic box with lid,Fresh/normal,None,No
81,Room temperature (≈25°C),Low (pH~6.5),Clotted/curdled,Glass jar sealed,Rancid smell,5-15%,Yes
64,Refrigerated (≈4°C),Moderate (pH~5.5),Normal (smooth),Metal container,Rancid smell,5-15%,Yes
2,Room temperature (≈25°C),None,Normal (smooth),Metal container,Fresh/normal,5-15%,No
64,Room temperature (≈25°C),High (pH~4.5),Mushy,Open bowl,Strong off-odor,5-15%,Yes
58,Refrigerated (≈4°C),None,Normal (smooth),Metal container,Fresh/normal,None,No
78,Warm environment (≈35°C),High (pH~4.5),Mushy,Open bowl,Strong off-odor,None,Yes
97,Covered in container,Moderate (pH~5.5),Clotted/curdled,Open bowl,Strong off-odor,Oil film present,Yes
6,Room temperature (≈25°C),None,Watery separation,Thermal flask,Fresh/normal,None,No
31,Open air / uncovered,None,Watery separation,Thermal flask,Fresh/normal,None,No
55,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Sour fermentation smell,>15%,Yes
82,Covered in container,None,Normal (smooth),Metal container,Fresh/normal,None,No
52,Insulated container,None,Normal (smooth),Thermal flask,Fresh/normal,None,No
17,Open air / uncovered,Low (pH~6.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
53,Insulated container,Moderate (pH~5.5),Clotted/curdled,Thermal flask,Strong off-odor,>15%,Yes
48,Insulated container,High (pH~4.5),Clotted/curdled,Plastic box with lid,Rancid smell,Oil film present,Yes
102,Covered in container,High (pH~4.5),Watery separation,Metal container,Strong off-odor,Oil film present,Yes
81,Refrigerated (≈4°C),Low (pH~6.5),Normal (smooth),Metal container,Fresh/normal,None,No
80,Covered in container,Moderate (pH~5.5),Mushy,Plastic box with lid,Rancid smell,5-15%,Yes
48,Insulated container,Low (pH~6.5),Watery separation,Glass jar sealed,Rancid smell,>15%,Yes
77,Warm environment (≈35°C),Moderate (pH~5.5),Clotted/curdled,Plastic box with lid,Sour fermentation smell,5-15%,Yes
113,Covered in container,High (pH~4.5),Watery separation,Plastic box with lid,Sour fermentation smell,>15%,Yes
61,Warm environment (≈35°C),None,Clotted/curdled,Metal container,Rancid smell,5-15%,Yes
111,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Thermal flask,Sour fermentation smell,Oil film present,Yes
36,Insulated container,High (pH~4.5),Clotted/curdled,Glass jar sealed,Rancid smell,5-15%,Yes
105,Warm environment (≈35°C),Moderate (pH~5.5),Thickened,Open bowl,Strong off-odor,Oil film present,Yes
56,Warm environment (≈35°C),Low (pH~6.5),Watery separation,Open bowl,Strong off-odor,>15%,Yes
50,Refrigerated (≈4°C),High (pH~4.5),Thickened,Glass jar sealed,Fresh/normal,None,No
40,Covered in container,Low (pH~6.5),Thickened,Glass jar sealed,Fresh/normal,None,No
68,Open air / uncovered,High (pH~4.5),Clotted/curdled,Open bowl,Strong off-odor,5-15%,Yes
100,Warm environment (≈35°C),Low (pH~6.5),Clotted/curdled,Metal container,Strong off-odor,None,Yes
56,Refrigerated (≈4°C),None,Thickened,Thermal flask,Fresh/normal,5-15%,No
112,Insulated container,Moderate (pH~5.5),Mushy,Plastic box with lid,Strong off-odor,>15%,Yes
51,Room temperature (≈25°C),High (pH~4.5),Watery separation,Open bowl,Strong off-odor,Oil film present,Yes
29,Covered in container,None,Clotted/curdled,Thermal flask,Slight off-smell,5-15%,No
4,Warm environment (≈35°C),None,Normal (smooth),Open bowl,Slight off-smell,None,No
26,Open air / uncovered,None,Normal (smooth),Metal container,Fresh/normal,<5%,No
82,Refrigerated (≈4°C),None,Mushy,Open bowl,Fresh/normal,None,No
71,Refrigerated (≈4°C),Low (pH~6.5),Thickened,Thermal flask,Fresh/normal,None,No
12,Covered in container,High (pH~4.5),Thickened,Metal container,Sour fermentation smell,<5%,Yes
25,Warm environment (≈35°C),High (pH~4.5),Watery separation,Glass jar sealed,Sour fermentation smell,>15%,Yes
112,Room temperature (≈25°C),High (pH~4.5),Normal (smooth),Open bowl,Sour fermentation smell,Oil film present,Yes
91,Room temperature (≈25°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Rancid smell,5-15%,Yes
5,Room temperature (≈25°C),Moderate (pH~5.5),Normal (smooth),Thermal flask,Slight off-smell,None,No
103,Covered in container,High (pH~4.5),Watery separation,Thermal flask,Rancid smell,5-15%,Yes
78,Refrigerated (≈4°C),Low (pH~6.5),Watery separation,Thermal flask,Slight off-smell,None,No
2,Refrigerated (≈4°C),High (pH~4.5),Normal (smooth),Thermal flask,Fresh/normal,None,No
66,Warm environment (≈35°C),Moderate (pH~5.5),Mushy,Thermal flask,Rancid smell,5-15%,Yes
67,Room temperature (≈25°C),Low (pH~6.5),Normal (smooth),Thermal flask,Slight off-smell,None,No
1,Warm environment (≈35°C),Moderate (pH~5.5),Watery separation,Glass jar sealed,Sour fermentation smell,Oil film present,Yes
